#podstatne mena
oportunista,m,hrdina
heger,m,chlap
soros,m,chlapa
brusel,m,hrdina
slnieckar,m,chlap
sulik,m,chlap
progresivec,m,chlap
matovic,m,chlap
satanista,m,hrdina
fasista,m,hrdina
lipsic,m,chlap
korcok,m,chlap
dennik n,m,nesklonne
kapitalista,m,hrdina
zidojaster,m,chlap
naď,m,chlap
potkan,m,chlap
simecka,m,hrdina
liberalizmus,m,hrdina
fasizmus,m,hrdina
farizej,m,chlap
oligarcha,m,hrdina
psychopat,m,chlap

europska unia,z,ulica
markiza,z,zena
SASka,z,zena
vlada,z,zena
nadvlada,z,zena
caputova,z,otcov
mimovladka,z,zena
propaganda,z,zena
elita,z,zena
bratislavska kaviaren,z,dlan
hyena,z,zena

PSko,s,mesto
hniezdo,s,srdce
centrum,s,mesto
pohlavie,s,vysvedcenie
OLANO,s,mesto


aktuality,z,nesklonne
72 pohlavi,s,nesklonne
poradcovia caputovej,m,nesklonne

#pridavne mena (male)
liberalny,pekny
opozicno-oportunisticky,pekny
bratislavsky,pekny
fasisticky,pekny
dalsi,cudzi
farizejsky,pekny
mocensky,pekny
progresivny,pekny
matovicov,otcov
caputova,otcov
hegerov,otcov
korcokov,otcov
infantilny,pekny

#zamena

#slovesa
chcel,chce,chciet
musel,musi,musiet
nesmel,nesmie,nebude
mohol,moze,moct

je,bol,bude
znicil,nici,nicit
terorizoval,terorizuje,terorizovat
zmenil,meni,menit
zakazal,zakazuje,zakaze
zavadzal,zavadza,zavadzat
kradol,kradne,ukradne
skodil,skodi,skodit
rozkradol,kradne,ukradne
sterilizoval,sterilizuje,sterilizovat
pretlacil,tlaci,tlacit
sa prizivoval,sa prizivuje,sa prizivovat
za dezolata oznacil,za dezolata oznacuje,za dezolata oznaci
opovrhoval,opovrhuje,opovrhovat


#predlozka

#prislovky
fasisticky
farizejsky
bezhlavo
bez problemov



#spojky

#castice










napriklad
a
podla obrazu
podla
ale aj
ako
